Algorithm,Distribution,Run,Time
Prim's,Sparse,1,217766000
Kruskal,Sparse,1,293404700
Prim's,Sparse,2,189755500
Kruskal,Sparse,2,116522000
Prim's,Sparse,3,200040000
Kruskal,Sparse,3,76722400
Prim's,Sparse,4,161117300
Kruskal,Sparse,4,75400300
Prim's,Sparse,5,171284400
Kruskal,Sparse,5,91396400
Prim's,Sparse,6,156008800
Kruskal,Sparse,6,113282000
Prim's,Sparse,7,170871400
Kruskal,Sparse,7,80328600
Prim's,Sparse,8,161112000
Kruskal,Sparse,8,59085600
Prim's,Sparse,9,128978000
Kruskal,Sparse,9,59954600
Prim's,Sparse,10,85200800
Kruskal,Sparse,10,61979200
Prim's,Sparse,11,97254900
Kruskal,Sparse,11,119234500
Prim's,Sparse,12,128189400
Kruskal,Sparse,12,83948200
Prim's,Sparse,13,108513200
Kruskal,Sparse,13,65732300
Prim's,Sparse,14,108082100
Kruskal,Sparse,14,98153600
Prim's,Sparse,15,113740400
Kruskal,Sparse,15,60852900
Prim's,Dense,1,1600398300
Kruskal,Dense,1,353503800
Prim's,Dense,2,1557730000
Kruskal,Dense,2,301841500
Prim's,Dense,3,1585722500
Kruskal,Dense,3,272104200
Prim's,Dense,4,1591855000
Kruskal,Dense,4,299342300
Prim's,Dense,5,1726085500
Kruskal,Dense,5,357928300
Prim's,Dense,6,2598441000
Kruskal,Dense,6,477725200
Prim's,Dense,7,2613068900
Kruskal,Dense,7,590933900
Prim's,Dense,8,2602480500
Kruskal,Dense,8,674793600
Prim's,Dense,9,2067656700
Kruskal,Dense,9,305187300
Prim's,Dense,10,1758793800
Kruskal,Dense,10,335646000
Prim's,Dense,11,1668931400
Kruskal,Dense,11,335448900
Prim's,Dense,12,2031836800
Kruskal,Dense,12,522409400
Prim's,Dense,13,3332722300
Kruskal,Dense,13,565965300
Prim's,Dense,14,2478602500
Kruskal,Dense,14,577261700
Prim's,Dense,15,2550150800
Kruskal,Dense,15,465598900
Prim's,Complete,1,9530100800
Kruskal,Complete,1,2251439600
Prim's,Complete,2,9869089600
Kruskal,Complete,2,2066077200
Prim's,Complete,3,14493638200
Kruskal,Complete,3,2553289900
Prim's,Complete,4,9280899500
Kruskal,Complete,4,2047115000
Prim's,Complete,5,8095274800
Kruskal,Complete,5,1657327000
Prim's,Complete,6,8387039600
Kruskal,Complete,6,3524351800
Prim's,Complete,7,13951503300
Kruskal,Complete,7,4018043800
Prim's,Complete,8,10367899700
Kruskal,Complete,8,1975237900
Prim's,Complete,9,9599661200
Kruskal,Complete,9,1995174200
Prim's,Complete,10,9751799400
Kruskal,Complete,10,2185001800
Prim's,Complete,11,8836303500
Kruskal,Complete,11,2052039300
Prim's,Complete,12,9807203000
Kruskal,Complete,12,2036152400
Prim's,Complete,13,9794964500
Kruskal,Complete,13,2090191400
Prim's,Complete,14,9345645100
Kruskal,Complete,14,1966680800
Prim's,Complete,15,8686727700
Kruskal,Complete,15,1954268700
