Algorithm,Distribution,Run,Time
Prim's,Sparse,1,167102200
Kruskal,Sparse,1,166206400
Prim's,Sparse,2,147714400
Kruskal,Sparse,2,91955400
Prim's,Sparse,3,120633500
Kruskal,Sparse,3,75726300
Prim's,Sparse,4,127637400
Kruskal,Sparse,4,95633900
Prim's,Sparse,5,187347600
Kruskal,Sparse,5,102939800
Prim's,Dense,1,3852063300
Kruskal,Dense,1,622193100
Prim's,Dense,2,3817812900
Kruskal,Dense,2,737170100
Prim's,Dense,3,2316460400
Kruskal,Dense,3,541473800
Prim's,Dense,4,2752900800
Kruskal,Dense,4,643048600
Prim's,Dense,5,2389839100
Kruskal,Dense,5,529554500
Prim's,Complete,1,10743537100
Kruskal,Complete,1,2289592800
Prim's,Complete,2,10644760600
Kruskal,Complete,2,2247720400
Prim's,Complete,3,10510629300
Kruskal,Complete,3,1717686100
Prim's,Complete,4,10152418400
Kruskal,Complete,4,2254268300
Prim's,Complete,5,10627372400
Kruskal,Complete,5,2327814900
