Algorithm,Distribution,Run,Time
Dijkstra,DAG,1,18278600
DAGShortestPath,DAG,1,8284700
Dijkstra,DAG,2,1621000
DAGShortestPath,DAG,2,820500
Dijkstra,DAG,3,5468200
DAGShortestPath,DAG,3,1397700
Dijkstra,DAG,4,1859600
DAGShortestPath,DAG,4,626100
Dijkstra,DAG,5,8752100
DAGShortestPath,DAG,5,3051200
Dijkstra,DAG,6,4902800
DAGShortestPath,DAG,6,7868600
Dijkstra,DAG,7,5650600
DAGShortestPath,DAG,7,894300
Dijkstra,DAG,8,2290500
DAGShortestPath,DAG,8,1215500
Dijkstra,DAG,9,3181500
DAGShortestPath,DAG,9,1532800
Dijkstra,DAG,10,1548100
DAGShortestPath,DAG,10,826200
Dijkstra,DAG,11,3698900
DAGShortestPath,DAG,11,2217300
Dijkstra,DAG,12,3521400
DAGShortestPath,DAG,12,1425700
Dijkstra,DAG,13,1756000
DAGShortestPath,DAG,13,917400
Dijkstra,DAG,14,2567700
DAGShortestPath,DAG,14,975500
Dijkstra,DAG,15,8170700
DAGShortestPath,DAG,15,1028700
