Algorithm,Distribution,Run,Time
Dijkstra,Sparse,1,39728400
Dijkstra,Sparse,2,5884200
Dijkstra,Sparse,3,5524900
Dijkstra,Sparse,4,5333900
Dijkstra,Sparse,5,5865800
Dijkstra,Sparse,6,3410400
Dijkstra,Sparse,7,2327900
Dijkstra,Sparse,8,2229800
Dijkstra,Sparse,9,2009700
Dijkstra,Sparse,10,2174300
Dijkstra,Sparse,11,2090000
Dijkstra,Sparse,12,2054400
Dijkstra,Sparse,13,1959300
Dijkstra,Sparse,14,2047400
Dijkstra,Sparse,15,2112900
Dijkstra,Dense,1,29821200
Dijkstra,Dense,2,70203000
Dijkstra,Dense,3,23311100
Dijkstra,Dense,4,13266100
Dijkstra,Dense,5,13958900
Dijkstra,Dense,6,13567100
Dijkstra,Dense,7,13268200
Dijkstra,Dense,8,24571900
Dijkstra,Dense,9,11467600
Dijkstra,Dense,10,10977000
Dijkstra,Dense,11,14716100
Dijkstra,Dense,12,11510300
Dijkstra,Dense,13,11406200
Dijkstra,Dense,14,11470600
Dijkstra,Dense,15,13349200
Dijkstra,Complete,1,41064200
Dijkstra,Complete,2,42775800
Dijkstra,Complete,3,53110400
Dijkstra,Complete,4,48790600
Dijkstra,Complete,5,58564800
Dijkstra,Complete,6,57193800
Dijkstra,Complete,7,54592900
Dijkstra,Complete,8,48034000
Dijkstra,Complete,9,45290100
Dijkstra,Complete,10,38414400
Dijkstra,Complete,11,37998800
Dijkstra,Complete,12,29739400
Dijkstra,Complete,13,38474800
Dijkstra,Complete,14,25772800
Dijkstra,Complete,15,32536400
Dijkstra,DAG,1,89300
Dijkstra,DAG,2,126000
Dijkstra,DAG,3,68900
Dijkstra,DAG,4,97200
Dijkstra,DAG,5,107800
Dijkstra,DAG,6,184600
Dijkstra,DAG,7,53600
Dijkstra,DAG,8,86000
Dijkstra,DAG,9,61200
Dijkstra,DAG,10,209200
Dijkstra,DAG,11,94800
Dijkstra,DAG,12,60700
Dijkstra,DAG,13,167000
Dijkstra,DAG,14,60800
Dijkstra,DAG,15,175700
